Restaurant_id,Name,Country,City,Rating,Rating_count,Cuisine,Cuisine.1
398649,SARANSH DI HATTI,India,"Uttam Nagar,Delhi",,Too Few Ratings,"Indian,Chinese","Indian,Chinese"
511202,DATTAGURU FOOD,India,Aurangabad,,Too Few Ratings,"Fast Food,Italian","Fast Food,Italian"
551985,HOME MEAL,India,"Dumdum,Kolkata",,Too Few Ratings,"Indian,Chinese","Indian,Chinese"
486195,Hotel Egale Executive,India,"PCMC,Pune",,Too Few Ratings,"North Indian,Mughlai","North Indian,Mughlai"
516269,Moodys Misal and Snacks,India,"Kharadi,Pune",,Too Few Ratings,Indian,Indian
46648,Shri Balaajee Bhavan,India,"Urapakkam,Chennai",4.4,1K+ ratings,"South Indian,North Indian","South Indian,North Indian"
541441,PARTI PASTRIES,India,"Panampilly Nagar,Kochi",,Too Few Ratings,Bakery,Bakery
51693,Tea Break,India,"Karappakam,Chennai",4.2,100+ ratings,Bakery,Bakery
447287,Food So Good Fast Food,India,Imphal,,Too Few Ratings,"Chinese,Indian","Chinese,Indian"
444562,Hot And Crispy Fried Chicken,India,"Porur,Chennai",4.2,20+ ratings,"Fast Food,Beverages","Fast Food,Beverages"
567688,Kolhapuri Vada Pav Center,India,Aurangabad,,Too Few Ratings,Snacks,Snacks
137093,Milap Family Restaurant,India,Katni,3.0,20+ ratings,"North Indian,Mughlai","North Indian,Mughlai"
509506,Hotel Jagdamb Dhaba,India,"Vashi,Mumbai",,Too Few Ratings,"Maharashtrian,Chinese","Maharashtrian,Chinese"
495274,Momo King,India,Kalady,4.3,50+ ratings,"Chinese,Fast Food","Chinese,Fast Food"
533514,The Galley Eats,India,North-goa,,Too Few Ratings,"Indian,North Indian","Indian,North Indian"
536119,VAIBHAVI AMERICAN FOOD DESHI STYLE,India,"Aminabad,Lucknow",,Too Few Ratings,"Chinese,Pizzas","Chinese,Pizzas"
570823,Dumpling and Momo,India,Faridabad,,Too Few Ratings,"North Indian,Snacks","North Indian,Snacks"
81258,Kaffee haus,India,"Vasai,Mumbai",3.9,20+ ratings,"Continental,Chinese","Continental,Chinese"
79041,Pizza Mia,India,Central-goa,3.8,50+ ratings,"Pizzas,Continental","Pizzas,Continental"
401029,Shree Mithai,India,"Vadapalani,Chennai",4.5,1K+ ratings,"Desserts,Street Food","Desserts,Street Food"
464596,BUTTER CHICKEN DELHI-6,India,"Kirti Nagar,Delhi",,Too Few Ratings,"North Indian,Chinese","North Indian,Chinese"
464602,Kulcha Point,India,Varanasi,2.8,20+ ratings,"Indian,Punjabi","Indian,Punjabi"
570643,Chiah Hok,India,"JP Nagar,Bangalore",,Too Few Ratings,"Chinese,Beverages","Chinese,Beverages"
552642,Sangam Sweets,India,"JP Nagar,Bangalore",4.4,100+ ratings,"Sweets,Chaat","Sweets,Chaat"
